iter	Passed	Remaining
1153	51824	60446
1154	51868	60400
1155	51911	60353
1156	51951	60303
1157	51995	60257
1158	52042	60214
1159	52086	60169
1160	52127	60119
1161	52172	60074
1162	52216	60028
1163	52258	59980
1164	52305	59938
1165	52350	59893
1166	52400	59854
1167	52454	59820
1168	52505	59781
1169	52552	59738
1170	52600	59698
1171	52645	59652
1172	52690	59607
1173	52735	59563
1174	52779	59517
1175	52826	59474
1176	52868	59426
1177	52912	59380
1178	52955	59333
1179	53001	59289
1180	53042	59240
1181	53086	59194
1182	53130	59149
1183	53172	59100
1184	53215	59053
1185	53265	59013
1186	53310	58969
1187	53355	58924
1188	53399	58878
1189	53445	58834
1190	53485	58784
1191	53529	58738
1192	53579	58699
1193	53622	58652
1194	53666	58606
1195	53710	58560
1196	53752	58512
1197	53802	58472
1198	53847	58427
1199	53891	58382
1200	53936	58337
1201	53980	58292
1202	54025	58246
1203	54070	58201
1204	54113	58155
1205	54155	58107
1206	54195	58057
1207	54236	58007
1208	54278	57959
1209	54322	57914
1210	54370	57871
1211	54413	57825
1212	54454	57776
1213	54497	57729
1214	54546	57689
1215	54586	57638
1216	54629	57592
1217	54676	57549
1218	54718	57501
1219	54770	57463
1220	54812	57416
1221	54866	57380
1222	54911	57335
1223	54961	57296
1224	54999	57244
1225	55040	57194
1226	55081	57145
1227	55119	57094
1228	55165	57051
1229	55208	57003
1230	55260	56966
1231	55305	56922
1232	55355	56882
1233	55400	56836
1234	55443	56790
1235	55491	56748
1236	55531	56698
1237	55576	56653
1238	55628	56615
1239	55673	56571
1240	55716	56524
1241	55759	56477
1242	55808	56437
1243	55862	56400
1244	55913	56362
1245	55958	56317
1246	56013	56282
1247	56060	56240
1248	56109	56199
1249	56151	56151
1250	56208	56118
1251	56251	56071
1252	56294	56024
1253	56337	55978
1254	56382	55932
1255	56426	55887
1256	56469	55840
1257	56514	55795
1258	56558	55750
1259	56603	55705
1260	56648	55659
1261	56690	55612
1262	56733	55565
1263	56774	55516
1264	56816	55469
1265	56859	55422
1266	56901	55374
1267	56948	55331
1268	57001	55294
1269	57045	55249
1270	57086	55199
1271	57130	55154
1272	57187	55121
1273	57229	55072
1274	57268	55022
1275	57312	54977
1276	57356	54930
1277	57395	54880
1278	57438	54834
1279	57483	54788
1280	57529	54744
1281	57574	54700
1282	57616	54652
1283	57654	54601
1284	57694	54551
1285	57733	54501
1286	57774	54452
1287	57819	54407
1288	57860	54359
1289	57905	54314
1290	57951	54270
1291	57995	54225
1292	58038	54178
1293	58080	54130
1294	58120	54081
1295	58174	54044
1296	58219	54000
1297	58261	53952
1298	58305	53906
1299	58347	53859
1300	58392	53814
1301	58435	53767
1302	58477	53720
1303	58530	53683
1304	58575	53638
1305	58620	53593
1306	58659	53543
1307	58704	53498
1308	58748	53452
1309	58795	53409
1310	58839	53364
1311	58880	53315
1312	58923	53268
1313	58976	53231
1314	59014	53180
1315	59056	53132
1316	59098	53085
1317	59138	53036
1318	59181	52990
1319	59223	52942
1320	59261	52891
1321	59305	52845
1322	59343	52794
1323	59385	52747
1324	59427	52699
1325	59469	52652
1326	59510	52604
1327	59550	52555
1328	59592	52507
1329	59634	52460
1330	59676	52412
1331	59722	52369
1332	59767	52324
1333	59805	52273
1334	59852	52230
1335	59893	52182
1336	59933	52133
1337	59976	52087
1338	60020	52041
1339	60062	51993
1340	60108	51950
1341	60150	51903
1342	60196	51859
1343	60240	51814
1344	60279	51763
1345	60316	51712
1346	60372	51677
1347	60407	51624
1348	60446	51574
1349	60487	51526
1350	60529	51479
1351	60569	51430
1352	60609	51381
1353	60652	51335
1354	60696	51289
1355	60737	51241
1356	60777	51192
1357	60815	51142
1358	60858	51096
1359	60900	51049
1360	60943	51002
1361	60986	50956
1362	61036	50915
1363	61077	50868
1364	61116	50818
1365	61161	50774
1366	61207	50730
1367	61251	50684
1368	61293	50637
1369	61335	50590
1370	61390	50554
1371	61433	50508
1372	61471	50457
1373	61526	50421
1374	61574	50378
1375	61615	50331
1376	61657	50284
1377	61699	50236
1378	61743	50191
1379	61796	50153
1380	61837	50106
